gora_id;pot_id;izhodisce;izhodisce_visina_m;sirina;dolzina;cilj;cilj_visina_m;ime_poti;cas_hoje_min;dolzina_km;zahtevnost;oznacena;ferata;visinska_razlika_m;visinska_razlika_po_poti_m;zemljevid;oprema_poletje;oprema_zima;ogledi;stevilo_slik;stevilo_komentarjev
461;5608;Srednja vas;583;46.29750;13.92310;Ablanca;2004;Za Ribnico, čez Jezerce in Studorski preval;265;10.38;2;0;;1421;1455;TNP 1:50.000;čelada;čelada, cepin, dereze;1090;92;0
461;5615;Srednja vas;583;46.29750;13.92310;Ablanca;2004;Za Ribnico in čez planino Spodnji Tosc;320;12.04;2;0;;1421;1635;TNP 1:50.000;čelada;čelada, cepin, dereze;811;96;0
463;750;Ski hotel Vogel;1540;46.27580;13.83580;Šija;1880;;90;3.24;1;1;;340;415;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;30598;50;3
463;748;Javorje;1050;46.24960;13.86750;Šija;1880;čez Zadnjo Suho;150;4.66;1;1;;830;900;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;11654;27;1
463;3512;Ukanc;570;46.27580;13.83580;Šija;1880;čez planino Zadnji Vogel;265;8.66;1;1;;1310;1350;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;6858;64;0
463;749;Javorje;1050;46.24960;13.86750;Šija;1880;čez Kratki plaz;160;4.43;1;0;;830;830;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5583;22;0
463;7859;Ukanc;570;46.27580;13.83580;Šija;1880;skozi Žagarjev graben;240;7.68;1;1;;1310;1325;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;2700;54;0
464;751;Ski hotel Vogel;1540;46.27580;13.83580;Zavitar;1750;;60;2.58;1;0;;210;300;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5452;12;0
464;752;Javorje;1050;46.24960;13.86750;Zavitar;1750;čez Kratki plaz;120;3.13;;0;;700;700;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;4233;18;0
465;763;Vršič;1611;46.43360;13.74350;Sovna glava;1750;;30;;1;1;;139;139;TNP 1:50.000;Priporočena oprema (zima):;Ogledov: 14.647;14647;24;0
465;5226;Tonkina koča na Vršiču;1380;46.43910;13.75390;Sovna glava;1750;po stari cesti;70;;1;1;;370;385;Kranjska Gora 1:30.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;9904;51;0
465;3580;Koča pri izviru Soče;886;46.40930;13.72550;Sovna glava;1750;;160;;1;1;;864;864;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5096;69;0
