gora_id;povezava_poti
28;https://www.hribi.net/izlet/suhadolnik_skuta_cez_kokrsko_sedlo/3/28/648
28;https://www.hribi.net/izlet/ravenska_kocna_skuta_mimo_zicnice_in_cez_dolgi_hrbet/3/28/685
28;https://www.hribi.net/izlet/v__koncu_skuta_cez_gamsov_skret/3/28/755
28;https://www.hribi.net/izlet/ravenska_kocna_skuta_po_ferati_in_cez_dolgi_hrbet/3/28/5487
28;https://www.hribi.net/izlet/ravenska_kocna_skuta_cez_stularjevo_planino_in_dolgi_hrbet/3/28/5488
28;https://www.hribi.net/izlet/ravenska_kocna_skuta_umik_zrela_in_cez_dolgi_hrbet/3/28/5486
31;https://www.hribi.net/izlet/suhadolnik_kokrska_kocna_cez_grdi_graben/3/31/1773
31;https://www.hribi.net/izlet/ravenska_kocna_kokrska_kocna_mimo_zicnice_in_po_kremzarjevi_poti/3/31/416
31;https://www.hribi.net/izlet/suhadolnik_kokrska_kocna_cez_kokrsko_sedlo/3/31/2591
31;https://www.hribi.net/izlet/v_koncu_kokrska_kocna/3/31/2592
31;https://www.hribi.net/izlet/suhadolnik_kokrska_kocna_po_jugozahodnem_grebenu/3/31/6154
31;https://www.hribi.net/izlet/ravenska_kocna_kokrska_kocna_po_ferati_in_kremzarjevi_poti/3/31/5489
31;https://www.hribi.net/izlet/ravenska_kocna_kokrska_kocna_cez_stularjevo_planino_in_po_kremzarjevi_poti/3/31/5491
31;https://www.hribi.net/izlet/ravenska_kocna_kokrska_kocna_umik_zrela_in_po_kremzarjevi_poti/3/31/5490
33;https://www.hribi.net/izlet/aljazev_dom_v_vratih_stenar_cez_sovatno/1/33/203
33;https://www.hribi.net/izlet/zadnjica_stenar/1/33/682
33;https://www.hribi.net/izlet/aljazev_dom_v_vratih_stenar_cez_stenarska_vratca/1/33/2858
33;https://www.hribi.net/izlet/ruski_kriz_stenar_cez_kriz/1/33/758
33;https://www.hribi.net/izlet/pisnica_stenar_cez_kriz/1/33/6550
33;https://www.hribi.net/izlet/aljazev_dom_v_vratih_stenar_stenar_po_jv_grebenu/1/33/11004
35;https://www.hribi.net/izlet/d_postaja_prestreljenik/1/35/204
