gora_id;pot_id;izhodisce;sirina_dolzina;cilj;ime_poti;cas_hoje;dolzina_km;zahtevnost;ferata;visinska_razlika_m;visinska_razlika_po_poti_m;zemljevid;oprema_poletje;oprema_zima;ogledi;stevilo_slik;stevilo_komentarjev;povezava
2329;10122;Loka pri Žusmu (Žamerk) (295 m);46,14900°N 15,50117°E;Žusem (669 m);čez Dobrino;1 h 30 min;;lahka označena pot;;374;400;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;260;40;0;https://www.hribi.net/izlet/loka_pri_zusmu_zamerk_zusem_cez_dobrino/25/2329/10122
2330;4814;Cmereška gorca (205 m);46,18410°N 15,60000°E;Sv. Urban (Cmereška Gorca) (322 m);;30 min;;lahka označena pot;;117;117;Posavsko hribovje Boč - Bohor 1:50.000;Priporočena oprema (zima):;Avtor: bruny;2165;9;0;https://www.hribi.net/izlet/cmereska_gorca_sv_urban_cmereska_gorca/25/2330/4814
2330;10805;Pristava pri Mestinju (204 m);46,19258°N 15,59854°E;Sv. Urban (Cmereška Gorca) (322 m);;30 min;;lahka neoznačena steza;;118;135;Priporočena oprema (poletje):;Priporočena oprema (zima):;Ogledov: 96;96;19;0;https://www.hribi.net/izlet/pristava_pri_mestinju_sv_urban_cmereska_gorca/25/2330/10805
2331;4813;Zala (730 m);45,85490°N 14,44530°E;Slap Kotel (763 m);;20 min;0,13 km;lahka označena pot;;33;35;Priporočena oprema (poletje):;Priporočena oprema (zima):;Avtor: žan1;10094;0;4;https://www.hribi.net/izlet/zala_slap_kotel/26/2331/4813
2332;4817;Mali Lipovec (385 m);;Japetić (879 m);preko Velikih vrat;1 h 15 min;;lahka označena pot;;494;494;Priporočena oprema (poletje):;Priporočena oprema (zima):;Avtor: Marx;3742;36;1;https://www.hribi.net/izlet/mali_lipovec_japetic_preko_velikih_vrat/61/2332/4817
2332;4820;Mali Lipovec (385 m);;Japetić (879 m);Preko Velike livade;1 h 15 min;;lahka označena pot;;494;494;Priporočena oprema (poletje):;Priporočena oprema (zima):;Avtor: Marx;2736;35;1;https://www.hribi.net/izlet/mali_lipovec_japetic_preko_velike_livade/61/2332/4820
2332;10372;Dragonoš (Krpesovka) (740 m);45,76161°N 15,59813°E;Japetić (879 m);;45 min;;lahka označena pot;;139;139;Priporočena oprema (poletje):;Priporočena oprema (zima):;Avtor: rokeg;388;22;0;https://www.hribi.net/izlet/dragonos_krpesovka_japetic/61/2332/10372
2334;4819;Osredek (754 m);;Dom v Iškem Vintgarju (360 m);;2 h 30 min;;lahka označena pot;;;200;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Avtor: žan1;6497;32;0;https://www.hribi.net/izlet/osredek_dom_v_iskem_vintgarju/26/2334/4819
2335;4987;Kamnica pri Mariboru (282 m);46,57200°N 15,61360°E;Sv. Urban nad Mariborom (595 m);čez Lucijin breg;1 h 30 min;;lahka neoznačena steza;;313;313;Štajerska 1:75 000;Priporočena oprema (zima):;Avtor: pohodnik38;17764;35;2;https://www.hribi.net/izlet/kamnica_pri_mariboru_sv_urban_nad_mariborom_cez_lucijin_breg/162/2335/4987
2335;4837;Maribor (275 m);46,56400°N 15,64810°E;Sv. Urban nad Mariborom (595 m);po poti čez Kozjak;2 h;;lahka označena pot;;320;540;Pohorje 1:50.000;Priporočena oprema (zima):;Avtor: bruny;12739;24;6;https://www.hribi.net/izlet/maribor_sv_urban_nad_mariborom_po_poti_cez_kozjak/162/2335/4837
